"","MFW","accuracy","precision","recall","F1"
"1",50,0.734042553191489,0.766528925619835,0.708333333333333,0.697306627450168
"2",100,0.787234042553192,0.810822510822511,0.762121212121212,0.759891875800967
"3",150,0.840425531914894,0.845075757575758,0.818181818181818,0.810536433263706
"4",200,0.861702127659574,0.902741702741703,0.854545454545454,0.856762429489702
"5",250,0.851063829787234,0.891504329004329,0.837121212121212,0.843233534142625
"6",300,0.829787234042553,0.887445887445887,0.816666666666667,0.8291095268368
"7",350,0.840425531914894,0.884559884559885,0.828030303030303,0.834242525151616
"8",400,0.829787234042553,0.875919913419913,0.812878787878788,0.815323313050586
"9",450,0.819148936170213,0.861309523809524,0.797727272727273,0.80422607695335
"10",500,0.829787234042553,0.882864357864358,0.812878787878788,0.821569087478178
"11",550,0.808510638297872,0.887652499016135,0.792424242424242,0.809308494535767
"12",600,0.765957446808511,0.861363636363636,0.745454545454545,0.760533910533911
"13",650,0.723404255319149,0.791873278236915,0.69469696969697,0.691865079365079
"14",700,0.723404255319149,0.811560409287682,0.692424242424242,0.697376361012725
"15",750,0.712765957446808,0.809838646202283,0.681060606060606,0.68358402589686
"16",800,0.723404255319149,0.799340810704447,0.692424242424242,0.695011932511932
"17",850,0.670212765957447,0.704170829170829,0.632575757575758,0.618440039492671
"18",900,0.670212765957447,0.65530303030303,0.618181818181818,0.592493209404974
"19",950,0.659574468085106,0.648809523809524,0.609090909090909,0.582207392163767
"20",1000,0.638297872340426,0.643584445857173,0.582575757575758,0.562931260658533
