"","MFW","accuracy","precision","recall","F1"
"1",50,0.861702127659574,0.873376623376623,0.847727272727273,0.846730289912108
"2",100,0.914893617021277,0.911363636363636,0.897727272727273,0.895972714154532
"3",150,0.872340425531915,0.88771645021645,0.859090909090909,0.861959000595364
"4",200,0.936170212765957,0.94534632034632,0.936363636363636,0.936721107175653
"5",250,0.946808510638298,0.950757575757576,0.945454545454545,0.945215138396957
"6",300,0.946808510638298,0.950757575757576,0.945454545454545,0.945215138396957
"7",350,0.936170212765957,0.94534632034632,0.93030303030303,0.932680703135249
"8",400,0.946808510638298,0.952922077922078,0.937878787878788,0.940945165945166
"9",450,0.936170212765957,0.948863636363636,0.926515151515152,0.931537906537907
"10",500,0.946808510638298,0.952922077922078,0.937878787878788,0.940945165945166
"11",550,0.936170212765957,0.941558441558442,0.93030303030303,0.930319428046701
"12",600,0.946808510638298,0.951406926406926,0.941666666666667,0.940961563688836
"13",650,0.936170212765957,0.947348484848485,0.932575757575758,0.932997305724579
"14",700,0.946808510638298,0.951406926406926,0.941666666666667,0.940961563688836
"15",750,0.957446808510638,0.965367965367965,0.949242424242424,0.953141303141303
"16",800,0.946808510638298,0.961309523809524,0.937878787878788,0.943734043734044
"17",850,0.936170212765957,0.949945887445887,0.922727272727273,0.923604173604174
"18",900,0.946808510638298,0.954004329004329,0.934090909090909,0.933011433011433
"19",950,0.936170212765957,0.947348484848485,0.922727272727273,0.922050172050172
"20",1000,0.946808510638298,0.958712121212121,0.937878787878788,0.942180042180042
"21",1050,0.946808510638298,0.958712121212121,0.937878787878788,0.942180042180042
"22",1100,0.968085106382979,0.964393939393939,0.958333333333333,0.957720057720058
"23",1150,0.968085106382979,0.973484848484849,0.958333333333333,0.95974025974026
"24",1200,0.968085106382979,0.964393939393939,0.958333333333333,0.957720057720058
"25",1250,0.957446808510638,0.965909090909091,0.949242424242424,0.950557523284796
"26",1300,0.968085106382979,0.973484848484849,0.958333333333333,0.95974025974026
"27",1350,0.957446808510638,0.964393939393939,0.949242424242424,0.94963924963925
"28",1400,0.957446808510638,0.964393939393939,0.949242424242424,0.94963924963925
"29",1450,0.957446808510638,0.963961038961039,0.949242424242424,0.95018315018315
"30",1500,0.957446808510638,0.964393939393939,0.949242424242424,0.94963924963925
"31",1550,0.957446808510638,0.963961038961039,0.949242424242424,0.95018315018315
"32",1600,0.936170212765957,0.950974025974026,0.922727272727273,0.922477522477522
"33",1650,0.946808510638298,0.960064935064935,0.931818181818182,0.932578532578533
"34",1700,0.957446808510638,0.965909090909091,0.943181818181818,0.941971664698937
"35",1750,0.946808510638298,0.960497835497836,0.931818181818182,0.932034632034632
"36",1800,0.946808510638298,0.960064935064935,0.931818181818182,0.932578532578533
"37",1850,0.946808510638298,0.960064935064935,0.931818181818182,0.932578532578533
"38",1900,0.936170212765957,0.950974025974026,0.922727272727273,0.922477522477522
"39",1950,0.946808510638298,0.960064935064935,0.931818181818182,0.932578532578533
"40",2000,0.946808510638298,0.960064935064935,0.931818181818182,0.932578532578533
