"","MFW","accuracy","precision","recall","F1"
"1",50,0.787234042553192,0.774458874458874,0.777272727272727,0.757421114239296
"2",100,0.851063829787234,0.881980519480519,0.842424242424242,0.839831380740472
"3",150,0.851063829787234,0.873701298701299,0.842424242424242,0.835805608532881
"4",200,0.893617021276596,0.900974025974026,0.893181818181818,0.884129759129759
"5",250,0.893617021276596,0.907900432900433,0.896969696969697,0.889429509884055
"6",300,0.893617021276596,0.907900432900433,0.896969696969697,0.889429509884055
"7",350,0.904255319148936,0.922186147186147,0.904545454545455,0.900324170778716
"8",400,0.914893617021277,0.928679653679654,0.915909090909091,0.910314180768726
"9",450,0.914893617021277,0.928679653679654,0.915909090909091,0.910314180768726
"10",500,0.914893617021277,0.928679653679654,0.915909090909091,0.910314180768726
"11",550,0.914893617021277,0.928679653679654,0.915909090909091,0.910314180768726
"12",600,0.914893617021277,0.928679653679654,0.915909090909091,0.910314180768726
"13",650,0.893617021276596,0.909199134199134,0.889393939393939,0.879735668372032
"14",700,0.893617021276596,0.909199134199134,0.889393939393939,0.879735668372032
"15",750,0.893617021276596,0.909199134199134,0.889393939393939,0.879735668372032
"16",800,0.893617021276596,0.909199134199134,0.889393939393939,0.879735668372032
"17",850,0.893617021276596,0.909199134199134,0.889393939393939,0.879735668372032
"18",900,0.882978723404255,0.903787878787879,0.874242424242424,0.867201233110324
"19",950,0.893617021276596,0.915151515151515,0.885606060606061,0.885815951725043
"20",1000,0.872340425531915,0.896212121212121,0.862878787878788,0.856378722287813
"21",1050,0.893617021276596,0.915151515151515,0.885606060606061,0.885815951725043
"22",1100,0.893617021276596,0.912987012987013,0.889393939393939,0.88752787616424
"23",1150,0.904255319148936,0.920562770562771,0.900757575757576,0.898350386986751
"24",1200,0.893617021276596,0.909199134199134,0.885606060606061,0.882765971402335
"25",1250,0.893617021276596,0.909199134199134,0.885606060606061,0.882765971402335
"26",1300,0.893617021276596,0.909199134199134,0.885606060606061,0.882765971402335
"27",1350,0.893617021276596,0.909199134199134,0.885606060606061,0.882765971402335
"28",1400,0.893617021276596,0.909199134199134,0.885606060606061,0.882765971402335
"29",1450,0.893617021276596,0.909199134199134,0.885606060606061,0.882765971402335
"30",1500,0.882978723404255,0.901623376623377,0.874242424242424,0.871943460579824
"31",1550,0.882978723404255,0.898376623376623,0.874242424242424,0.870920241374787
"32",1600,0.882978723404255,0.898376623376623,0.874242424242424,0.870920241374787
"33",1650,0.861702127659574,0.889069264069264,0.856060606060606,0.845467159103523
"34",1700,0.851063829787234,0.874188311688312,0.840909090909091,0.830707676162222
"35",1750,0.851063829787234,0.872077922077922,0.838636363636364,0.829266692903057
"36",1800,0.861702127659574,0.883116883116883,0.856060606060606,0.842417178780815
"37",1850,0.851063829787234,0.877435064935065,0.840909090909091,0.830432194068558
"38",1900,0.851063829787234,0.877435064935065,0.840909090909091,0.830432194068558
"39",1950,0.851063829787234,0.877435064935065,0.840909090909091,0.830432194068558
"40",2000,0.851063829787234,0.877435064935065,0.840909090909091,0.830432194068558
