"","MFW","accuracy","precision","recall","F1"
"1",50,0.808510638297872,0.847348484848485,0.811363636363636,0.790242585697131
"2",100,0.851063829787234,0.8495670995671,0.84469696969697,0.827324695506514
"3",150,0.893617021276596,0.898701298701299,0.885606060606061,0.883693579148125
"4",200,0.936170212765957,0.95,0.932575757575758,0.933726879181425
"5",250,0.936170212765957,0.938636363636364,0.938636363636364,0.934304079758625
"6",300,0.957446808510638,0.964393939393939,0.962878787878788,0.959464777646596
"7",350,0.936170212765957,0.936363636363636,0.938636363636364,0.931850977305523
"8",400,0.957446808510638,0.964393939393939,0.960606060606061,0.957195329922603
"9",450,0.968085106382979,0.974242424242424,0.971969696969697,0.970090515545061
"10",500,0.925531914893617,0.941125541125541,0.921212121212121,0.920031483667847
"11",550,0.957446808510638,0.964393939393939,0.960606060606061,0.957195329922603
"12",600,0.925531914893617,0.941125541125541,0.921212121212121,0.920031483667847
"13",650,0.925531914893617,0.937337662337662,0.921212121212121,0.919293585202676
"14",700,0.936170212765957,0.941666666666667,0.936363636363636,0.931690279417552
"15",750,0.936170212765957,0.941666666666667,0.936363636363636,0.931690279417552
"16",800,0.946808510638298,0.95,0.947727272727273,0.942043814771087
"17",850,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"18",900,0.946808510638298,0.953030303030303,0.951515151515152,0.947274695001968
"19",950,0.946808510638298,0.953030303030303,0.951515151515152,0.947274695001968
"20",1000,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"21",1050,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"22",1100,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"23",1150,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"24",1200,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"25",1250,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"26",1300,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"27",1350,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"28",1400,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"29",1450,0.957446808510638,0.961363636363636,0.962878787878788,0.957628230355503
"30",1500,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
"31",1550,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
"32",1600,0.957446808510638,0.961363636363636,0.962878787878788,0.956365604092877
"33",1650,0.957446808510638,0.961363636363636,0.962878787878788,0.956365604092877
"34",1700,0.957446808510638,0.961363636363636,0.962878787878788,0.956365604092877
"35",1750,0.957446808510638,0.961363636363636,0.962878787878788,0.956365604092877
"36",1800,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
"37",1850,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
"38",1900,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
"39",1950,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
"40",2000,0.968085106382979,0.970454545454545,0.971969696969697,0.967729240456513
