"","MFW","accuracy","precision","recall","F1"
"1",50,0.723404255319149,0.771103896103896,0.690151515151515,0.689155689824139
"2",100,0.776595744680851,0.810606060606061,0.760606060606061,0.752222020403839
"3",150,0.787234042553192,0.82267316017316,0.761363636363636,0.761951936951937
"4",200,0.808510638297872,0.813708513708514,0.777272727272727,0.766056166056166
"5",250,0.840425531914894,0.879112554112554,0.820454545454545,0.810661560661561
"6",300,0.829787234042553,0.888419913419913,0.807575757575758,0.807716525898344
"7",350,0.840425531914894,0.883261183261183,0.828787878787879,0.828839847021665
"8",400,0.851063829787234,0.867640692640693,0.826515151515152,0.822313545040818
"9",450,0.840425531914894,0.860984848484848,0.815151515151515,0.808249830977104
"10",500,0.840425531914894,0.860984848484848,0.815151515151515,0.808249830977104
"11",550,0.851063829787234,0.86504329004329,0.826515151515152,0.823284796012069
"12",600,0.861702127659574,0.890295815295815,0.841666666666667,0.843631116358389
"13",650,0.882978723404255,0.901136363636364,0.862121212121212,0.864290759745305
"14",700,0.861702127659574,0.870454545454545,0.837878787878788,0.835386330840876
"15",750,0.861702127659574,0.870598845598846,0.840151515151515,0.835117407844681
"16",800,0.882978723404255,0.901893939393939,0.864393939393939,0.864290759745305
"17",850,0.882978723404255,0.901893939393939,0.864393939393939,0.864290759745305
"18",900,0.882978723404255,0.90479797979798,0.864393939393939,0.865833661288207
"19",950,0.872340425531915,0.895707070707071,0.853030303030303,0.855732651187197
"20",1000,0.872340425531915,0.89280303030303,0.853030303030303,0.854189749644295
"21",1050,0.872340425531915,0.895707070707071,0.853030303030303,0.855732651187197
"22",1100,0.882978723404255,0.90479797979798,0.864393939393939,0.865833661288207
"23",1150,0.882978723404255,0.90479797979798,0.864393939393939,0.865833661288207
"24",1200,0.882978723404255,0.90479797979798,0.864393939393939,0.865833661288207
"25",1250,0.882978723404255,0.90479797979798,0.864393939393939,0.865833661288207
"26",1300,0.882978723404255,0.902525252525253,0.864393939393939,0.864390659845205
"27",1350,0.882978723404255,0.90479797979798,0.864393939393939,0.865833661288207
"28",1400,0.893617021276596,0.907954545454545,0.873484848484849,0.872948768403314
"29",1450,0.893617021276596,0.907954545454545,0.873484848484849,0.872948768403314
"30",1500,0.872340425531915,0.897113997113997,0.85530303030303,0.855896628623901
"31",1550,0.872340425531915,0.897113997113997,0.85530303030303,0.855896628623901
"32",1600,0.861702127659574,0.894588744588745,0.840151515151515,0.84464121736849
"33",1650,0.872340425531915,0.897113997113997,0.85530303030303,0.855896628623901
"34",1700,0.872340425531915,0.897113997113997,0.85530303030303,0.855896628623901
"35",1750,0.851063829787234,0.862770562770563,0.828787878787879,0.825449298176571
"36",1800,0.851063829787234,0.85974025974026,0.828787878787879,0.82443919716647
"37",1850,0.840425531914894,0.849134199134199,0.817424242424242,0.812823035550308
"38",1900,0.851063829787234,0.85974025974026,0.828787878787879,0.82443919716647
"39",1950,0.840425531914894,0.84004329004329,0.817424242424242,0.810802833530106
"40",2000,0.851063829787234,0.85974025974026,0.828787878787879,0.82443919716647
