"","MFW","accuracy","precision","recall","F1"
"1",50,0.861702127659574,0.835119047619048,0.843939393939394,0.820531740986286
"2",100,0.904255319148936,0.873484848484849,0.884848484848485,0.867112685294503
"3",150,0.914893617021277,0.91017316017316,0.9,0.89334201152383
"4",200,0.925531914893617,0.928030303030303,0.915151515151515,0.909500852682671
"5",250,0.925531914893617,0.928030303030303,0.915151515151515,0.909500852682671
"6",300,0.946808510638298,0.949242424242424,0.934090909090909,0.930768726223272
"7",350,0.936170212765957,0.935606060606061,0.926515151515152,0.920323363505182
"8",400,0.936170212765957,0.935606060606061,0.926515151515152,0.920323363505182
"9",450,0.946808510638298,0.943181818181818,0.941666666666667,0.938091958546504
"10",500,0.946808510638298,0.943181818181818,0.941666666666667,0.938091958546504
"11",550,0.946808510638298,0.943181818181818,0.941666666666667,0.938091958546504
"12",600,0.946808510638298,0.943181818181818,0.941666666666667,0.938091958546504
"13",650,0.946808510638298,0.943181818181818,0.941666666666667,0.938091958546504
"14",700,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"15",750,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"16",800,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"17",850,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"18",900,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"19",950,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"20",1000,0.957446808510638,0.950757575757576,0.950757575757576,0.947274695001968
"21",1050,0.957446808510638,0.953030303030303,0.950757575757576,0.947094319821593
"22",1100,0.957446808510638,0.953030303030303,0.950757575757576,0.947094319821593
"23",1150,0.957446808510638,0.953030303030303,0.950757575757576,0.947094319821593
"24",1200,0.968085106382979,0.965909090909091,0.965909090909091,0.960802833530106
"25",1250,0.968085106382979,0.965909090909091,0.965909090909091,0.960802833530106
"26",1300,0.968085106382979,0.965909090909091,0.965909090909091,0.960802833530106
"27",1350,0.957446808510638,0.956818181818182,0.956818181818182,0.950701823429096
"28",1400,0.957446808510638,0.956818181818182,0.956818181818182,0.950701823429096
"29",1450,0.957446808510638,0.956818181818182,0.956818181818182,0.950701823429096
"30",1500,0.968085106382979,0.968181818181818,0.964393939393939,0.961327561327561
"31",1550,0.968085106382979,0.970454545454545,0.964393939393939,0.962770562770563
"32",1600,0.968085106382979,0.970454545454545,0.964393939393939,0.962770562770563
"33",1650,0.968085106382979,0.970454545454545,0.964393939393939,0.962770562770563
"34",1700,0.978723404255319,0.979545454545454,0.973484848484849,0.972871572871573
"35",1750,0.978723404255319,0.979545454545454,0.973484848484849,0.972871572871573
"36",1800,0.978723404255319,0.979545454545454,0.973484848484849,0.972871572871573
"37",1850,0.968085106382979,0.970454545454545,0.964393939393939,0.962770562770563
"38",1900,0.957446808510638,0.959090909090909,0.956818181818182,0.952144824872098
"39",1950,0.968085106382979,0.968181818181818,0.965909090909091,0.962245834973108
"40",2000,0.978723404255319,0.979545454545454,0.973484848484849,0.972871572871573
