"","MFW","accuracy","precision","recall","F1"
"1",50,0.638297872340426,0.674296536796537,0.61969696969697,0.590595515595516
"2",100,0.776595744680851,0.800955988455988,0.784848484848485,0.75976775749503
"3",150,0.808510638297872,0.821536796536797,0.801515151515152,0.788206238206238
"4",200,0.829787234042553,0.827218614718615,0.818181818181818,0.805943803671076
"5",250,0.829787234042553,0.830248917748918,0.818181818181818,0.810144905599451
"6",300,0.861702127659574,0.866125541125541,0.857575757575758,0.850596373323646
"7",350,0.904255319148936,0.908225108225108,0.898484848484848,0.893775416502689
"8",400,0.914893617021277,0.913636363636364,0.909848484848485,0.905876951331497
"9",450,0.904255319148936,0.89469696969697,0.89469696969697,0.887262232716778
"10",500,0.904255319148936,0.89469696969697,0.89469696969697,0.887262232716778
"11",550,0.904255319148936,0.89469696969697,0.89469696969697,0.887262232716778
"12",600,0.893617021276596,0.885606060606061,0.885606060606061,0.878784599239145
"13",650,0.893617021276596,0.885606060606061,0.885606060606061,0.878784599239145
"14",700,0.893617021276596,0.885606060606061,0.885606060606061,0.878784599239145
"15",750,0.893617021276596,0.885606060606061,0.885606060606061,0.878784599239145
"16",800,0.893617021276596,0.881060606060606,0.885606060606061,0.876078971533517
"17",850,0.893617021276596,0.881060606060606,0.885606060606061,0.876078971533517
"18",900,0.893617021276596,0.885606060606061,0.885606060606061,0.878784599239145
"19",950,0.893617021276596,0.885606060606061,0.885606060606061,0.878784599239145
"20",1000,0.904255319148936,0.911363636363636,0.896969696969697,0.889390659845205
"21",1050,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"22",1100,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"23",1150,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"24",1200,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"25",1250,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"26",1300,0.914893617021277,0.917424242424242,0.912121212121212,0.905444050898596
"27",1350,0.914893617021277,0.917424242424242,0.912121212121212,0.905444050898596
"28",1400,0.914893617021277,0.917424242424242,0.912121212121212,0.905444050898596
"29",1450,0.914893617021277,0.917424242424242,0.912121212121212,0.905444050898596
"30",1500,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"31",1550,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"32",1600,0.914893617021277,0.922727272727273,0.912121212121212,0.907897153351699
"33",1650,0.925531914893617,0.938636363636364,0.927272727272727,0.922507542962088
"34",1700,0.925531914893617,0.938636363636364,0.927272727272727,0.922507542962088
"35",1750,0.936170212765957,0.945454545454545,0.936363636363636,0.932428177882723
"36",1800,0.936170212765957,0.945454545454545,0.936363636363636,0.932428177882723
"37",1850,0.936170212765957,0.945454545454545,0.936363636363636,0.932428177882723
"38",1900,0.936170212765957,0.945454545454545,0.936363636363636,0.932428177882723
"39",1950,0.936170212765957,0.945454545454545,0.936363636363636,0.932428177882723
"40",2000,0.936170212765957,0.945454545454545,0.936363636363636,0.932428177882723
