"","MFW","accuracy","precision","recall","F1"
"1",50,0.914893617021277,0.915151515151515,0.917424242424242,0.908674406401679
"2",100,0.914893617021277,0.924242424242424,0.916666666666667,0.903335301062574
"3",150,0.936170212765957,0.94469696969697,0.940909090909091,0.924619572346845
"4",200,0.936170212765957,0.94469696969697,0.940909090909091,0.924619572346845
"5",250,0.946808510638298,0.945454545454545,0.943939393939394,0.93975468975469
"6",300,0.946808510638298,0.945454545454545,0.943939393939394,0.93975468975469
"7",350,0.936170212765957,0.931818181818182,0.932575757575758,0.92965367965368
"8",400,0.946808510638298,0.945454545454545,0.943939393939394,0.93975468975469
"9",450,0.936170212765957,0.938961038961039,0.934848484848485,0.928141303141303
"10",500,0.936170212765957,0.948809523809524,0.940909090909091,0.926265401265401
"11",550,0.946808510638298,0.95487012987013,0.95,0.941128316128316
"12",600,0.936170212765957,0.948809523809524,0.940909090909091,0.926265401265401
"13",650,0.936170212765957,0.948809523809524,0.940909090909091,0.926265401265401
"14",700,0.925531914893617,0.899025974025974,0.931818181818182,0.907808100989919
"15",750,0.946808510638298,0.955627705627706,0.952272727272727,0.937629037629038
"16",800,0.946808510638298,0.955627705627706,0.952272727272727,0.937629037629038
"17",850,0.946808510638298,0.955627705627706,0.952272727272727,0.937629037629038
"18",900,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"19",950,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"20",1000,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"21",1050,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"22",1100,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"23",1150,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"24",1200,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"25",1250,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"26",1300,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
"27",1350,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
"28",1400,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
"29",1450,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
"30",1500,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
"31",1550,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"32",1600,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"33",1650,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"34",1700,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"35",1750,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"36",1800,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"37",1850,0.978723404255319,0.979545454545454,0.981818181818182,0.977092352092352
"38",1900,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
"39",1950,0.957446808510638,0.962121212121212,0.961363636363636,0.951948051948052
"40",2000,0.968085106382979,0.973484848484849,0.972727272727273,0.964935064935065
